start time is: 2017-12-18 21:18:16
this experiment hyperparameters are:
LEARNING_RATE = 0.01
BATCH_SIZE = 16
NUM_EPOCHES = 300
model_file :/media/wangchen/newdata1/wangchen/work/Indoor/models/best_model.pkl

	#####其余要说明的事项#####这次实验是微调place预训练的权重。

Epoch 130: Train cost 0.0018704951508, Train acc 0.999253731343, test acc 0.767910447761
Epoch 131: Train cost 0.00164410111029, Train acc 0.998880597015, test acc 0.764925373134
Epoch 132: Train cost 0.0016064819647, Train acc 0.999067164179, test acc 0.762686567164
Epoch 133: Train cost 0.00210642698221, Train acc 0.998507462687, test acc 0.765671641791
Epoch 134: Train cost 0.0019247707678, Train acc 0.998694029851, test acc 0.764925373134
Epoch 135: Train cost 0.00174593681004, Train acc 0.999253731343, test acc 0.760447761194
Epoch 136: Train cost 0.00188380270265, Train acc 0.998694029851, test acc 0.760447761194
Epoch 137: Train cost 0.00189057178795, Train acc 0.998320895522, test acc 0.764925373134
Epoch 138: Train cost 0.00173529458698, Train acc 0.999440298507, test acc 0.759701492537
Epoch 139: Train cost 0.00224485481158, Train acc 0.998694029851, test acc 0.761940298507
Epoch 140: Train cost 0.00194677023683, Train acc 0.998880597015, test acc 0.762686567164
Epoch 141: Train cost 0.00207769987173, Train acc 0.998694029851, test acc 0.761940298507
Epoch 142: Train cost 0.00258099636994, Train acc 0.998880597015, test acc 0.764179104478
Epoch 143: Train cost 0.00174017134123, Train acc 0.998880597015, test acc 0.763432835821
Epoch 144: Train cost 0.00258195144124, Train acc 0.998507462687, test acc 0.763432835821
Epoch 145: Train cost 0.00166362151504, Train acc 0.999067164179, test acc 0.763432835821
Epoch 146: Train cost 0.00179379445035, Train acc 0.998694029851, test acc 0.761940298507
Epoch 147: Train cost 0.00172040634789, Train acc 0.999253731343, test acc 0.764179104478
Epoch 148: Train cost 0.00148312561214, Train acc 0.999067164179, test acc 0.761940298507
Epoch 149: Train cost 0.00152947334573, Train acc 0.999253731343, test acc 0.761194029851
Epoch 150: Train cost 0.00220324029215, Train acc 0.998507462687, test acc 0.764179104478
Epoch 151: Train cost 0.00212183245458, Train acc 0.998507462687, test acc 0.764179104478
Epoch 152: Train cost 0.00156800285913, Train acc 0.999067164179, test acc 0.763432835821
Epoch 153: Train cost 0.00223003653809, Train acc 0.998694029851, test acc 0.764179104478
Epoch 154: Train cost 0.00185087672435, Train acc 0.998694029851, test acc 0.765671641791
Epoch 155: Train cost 0.0014891163446, Train acc 0.999253731343, test acc 0.764925373134
Epoch 156: Train cost 0.00173394789454, Train acc 0.999253731343, test acc 0.766417910448
Epoch 157: Train cost 0.00199875980616, Train acc 0.998880597015, test acc 0.764179104478
Epoch 158: Train cost 0.00198203022592, Train acc 0.998694029851, test acc 0.763432835821
Epoch 159: Train cost 0.00263287266716, Train acc 0.998134328358, test acc 0.759701492537
Epoch 160: Train cost 0.00215729093179, Train acc 0.998694029851, test acc 0.758955223881
Epoch 161: Train cost 0.00168285658583, Train acc 0.998694029851, test acc 0.758208955224
Epoch 162: Train cost 0.00154164189007, Train acc 0.999067164179, test acc 0.757462686567
Epoch 163: Train cost 0.00200598943047, Train acc 0.998880597015, test acc 0.759701492537
Epoch 164: Train cost 0.00183769944124, Train acc 0.998880597015, test acc 0.757462686567
Epoch 165: Train cost 0.00135099457111, Train acc 0.999067164179, test acc 0.761194029851
Epoch 166: Train cost 0.00161435210612, Train acc 0.999067164179, test acc 0.760447761194
Epoch 167: Train cost 0.0017685641069, Train acc 0.999067164179, test acc 0.765671641791
Epoch 168: Train cost 0.00192460196558, Train acc 0.998507462687, test acc 0.764179104478
Epoch 169: Train cost 0.00196213671006, Train acc 0.998507462687, test acc 0.764925373134
Epoch 170: Train cost 0.00148830143735, Train acc 0.999067164179, test acc 0.764925373134
Epoch 171: Train cost 0.00164530274924, Train acc 0.998880597015, test acc 0.762686567164
Epoch 172: Train cost 0.00218625576235, Train acc 0.998507462687, test acc 0.761940298507
