
start time is: 2018-01-17 09:45:04

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/0117train_1.conf
learning_rate = 0.00015
batch_size = 12
num_epoches = 300
model_file :/home/ubuntu/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：复现左边0108trian1实验,目的是使用小的学习率打印混淆矩阵,1+2 两个place 一个image。
Epoch 122: Train cost 0.0982341393828, Train acc 0.998694029851, test acc 0.780597014925
Epoch 123: Train cost 0.0985981673002, Train acc 0.998320895522, test acc 0.784328358209
Epoch 124: Train cost 0.0986471697688, Train acc 0.998320895522, test acc 0.776865671642
Epoch 125: Train cost 0.0973594784737, Train acc 0.999067164179, test acc 0.776865671642
Epoch 126: Train cost 0.097170740366, Train acc 0.998507462687, test acc 0.781343283582
Epoch 127: Train cost 0.101087786257, Train acc 0.99776119403, test acc 0.783582089552
Epoch 128: Train cost 0.0993264913559, Train acc 0.998507462687, test acc 0.784328358209
Epoch 129: Train cost 0.0985352024436, Train acc 0.998507462687, test acc 0.782089552239
Epoch 130: Train cost 0.0987538099289, Train acc 0.998507462687, test acc 0.782089552239
Epoch 131: Train cost 0.0990097224712, Train acc 0.998134328358, test acc 0.782835820896
Epoch 132: Train cost 0.099106259644, Train acc 0.998694029851, test acc 0.775373134328
Epoch 133: Train cost 0.0983676761389, Train acc 0.998694029851, test acc 0.783582089552
Epoch 134: Train cost 0.0978569835424, Train acc 0.998507462687, test acc 0.785074626866
Epoch 135: Train cost 0.0987983494997, Train acc 0.997947761194, test acc 0.794776119403
Epoch 136: Train cost 0.0982203483582, Train acc 0.998694029851, test acc 0.788805970149
Epoch 137: Train cost 0.0993770956993, Train acc 0.998134328358, test acc 0.787313432836
Epoch 138: Train cost 0.0972882807255, Train acc 0.998694029851, test acc 0.784328358209
Epoch 139: Train cost 0.0977596119046, Train acc 0.998694029851, test acc 0.782089552239
Epoch 140: Train cost 0.0979279205203, Train acc 0.997947761194, test acc 0.786567164179
Epoch 141: Train cost 0.0979222729802, Train acc 0.998134328358, test acc 0.787313432836
Epoch 142: Train cost 0.0966471359134, Train acc 0.999067164179, test acc 0.788059701493
Epoch 143: Train cost 0.0978413149714, Train acc 0.998694029851, test acc 0.788059701493
Epoch 144: Train cost 0.0967964529991, Train acc 0.999067164179, test acc 0.784328358209
Epoch 145: Train cost 0.0953384190798, Train acc 0.999440298507, test acc 0.781343283582
Epoch 146: Train cost 0.0987060964108, Train acc 0.997947761194, test acc 0.789552238806
Epoch 147: Train cost 0.0956669598818, Train acc 0.998694029851, test acc 0.788059701493
Epoch 148: Train cost 0.0959519743919, Train acc 0.999067164179, test acc 0.79328358209
Epoch 149: Train cost 0.0975110903382, Train acc 0.998507462687, test acc 0.789552238806
Epoch 150: Train cost 0.0965105295181, Train acc 0.999067164179, test acc 0.784328358209
Epoch 151: Train cost 0.101631529629, Train acc 0.997574626866, test acc 0.783582089552
Epoch 152: Train cost 0.0996686667204, Train acc 0.997947761194, test acc 0.779104477612
Epoch 153: Train cost 0.0985658466816, Train acc 0.998134328358, test acc 0.781343283582
Epoch 154: Train cost 0.0985978394747, Train acc 0.997947761194, test acc 0.784328358209
Epoch 155: Train cost 0.0965440645814, Train acc 0.998880597015, test acc 0.791791044776
Epoch 156: Train cost 0.0963285341859, Train acc 0.998880597015, test acc 0.788805970149
Epoch 157: Train cost 0.0961962118745, Train acc 0.998694029851, test acc 0.790298507463
Epoch 158: Train cost 0.0973316654563, Train acc 0.998694029851, test acc 0.782089552239
Epoch 159: Train cost 0.0989105254412, Train acc 0.997947761194, test acc 0.784328358209
Epoch 160: Train cost 0.0970015376806, Train acc 0.998880597015, test acc 0.788059701493
Epoch 161: Train cost 0.0974349305034, Train acc 0.998880597015, test acc 0.785820895522
Epoch 162: Train cost 0.0954279005527, Train acc 0.999067164179, test acc 0.787313432836
Epoch 163: Train cost 0.0965725705028, Train acc 0.998507462687, test acc 0.782089552239
Epoch 164: Train cost 0.0961864590645, Train acc 0.999067164179, test acc 0.788059701493
Epoch 165: Train cost 0.095616556704, Train acc 0.998507462687, test acc 0.789552238806
Epoch 166: Train cost 0.0963161960244, Train acc 0.998880597015, test acc 0.785820895522
Epoch 167: Train cost 0.0967782735825, Train acc 0.998880597015, test acc 0.791044776119
Epoch 168: Train cost 0.0962089151144, Train acc 0.998694029851, test acc 0.787313432836
Epoch 169: Train cost 0.0949047803879, Train acc 0.999067164179, test acc 0.788805970149
Epoch 170: Train cost 0.0972737371922, Train acc 0.998880597015, test acc 0.787313432836
Epoch 171: Train cost 0.0953829810023, Train acc 0.998507462687, test acc 0.785074626866
Epoch 172: Train cost 0.0970175862312, Train acc 0.999067164179, test acc 0.779850746269
Epoch 173: Train cost 0.0968063995242, Train acc 0.999067164179, test acc 0.786567164179
Epoch 174: Train cost 0.0970375016332, Train acc 0.998507462687, test acc 0.791044776119
Epoch 175: Train cost 0.0970969051123, Train acc 0.997947761194, test acc 0.790298507463
Epoch 176: Train cost 0.0983153805137, Train acc 0.998320895522, test acc 0.789552238806
Epoch 177: Train cost 0.0964539572597, Train acc 0.998507462687, test acc 0.787313432836
Epoch 178: Train cost 0.0983880907297, Train acc 0.998134328358, test acc 0.779104477612
Epoch 179: Train cost 0.0974325090647, Train acc 0.998880597015, test acc 0.787313432836
Epoch 180: Train cost 0.0949934870005, Train acc 0.999067164179, test acc 0.780597014925
Epoch 181: Train cost 0.0961050912738, Train acc 0.998694029851, test acc 0.784328358209
Epoch 182: Train cost 0.0975112840533, Train acc 0.998507462687, test acc 0.785820895522
Epoch 183: Train cost 0.0947805121541, Train acc 0.999067164179, test acc 0.781343283582
Epoch 184: Train cost 0.0975336953998, Train acc 0.998694029851, test acc 0.790298507463
Epoch 185: Train cost 0.0967044010758, Train acc 0.998694029851, test acc 0.783582089552
Epoch 186: Train cost 0.0960996523499, Train acc 0.998134328358, test acc 0.787313432836
