
start time is: 2017-12-28 17:28:56

this experiment hyperparameters are:
config_file :/media/wangchen/newdata1/wangchen/work/Indoor/config/1228train_2.conf
learning_rate = 0.0005
batch_size = 20
num_epoches = 200
model_file :/media/wangchen/newdata1/wangchen/work/Indoor/models/bn_best_model.pkl

其余要说明的事项 ：添加了bn层。

Epoch 166: Train cost 0.0798289328814, Train acc 0.999440298507, test acc 0.757462686567
Epoch 167: Train cost 0.0798406675458, Train acc 0.999067164179, test acc 0.758955223881
Epoch 168: Train cost 0.0801236331463, Train acc 0.998880597015, test acc 0.755970149254
Epoch 169: Train cost 0.080270126462, Train acc 0.998694029851, test acc 0.75671641791
Epoch 170: Train cost 0.0808093771338, Train acc 0.998320895522, test acc 0.760447761194
Epoch 171: Train cost 0.0805466026068, Train acc 0.998880597015, test acc 0.755223880597
Epoch 172: Train cost 0.0802836194634, Train acc 0.998880597015, test acc 0.761194029851
Epoch 173: Train cost 0.0798054635525, Train acc 0.999253731343, test acc 0.755970149254
Epoch 174: Train cost 0.0799435973167, Train acc 0.998880597015, test acc 0.753731343284
Epoch 175: Train cost 0.0804572179914, Train acc 0.998880597015, test acc 0.755970149254
Epoch 176: Train cost 0.0791493952274, Train acc 0.999626865672, test acc 0.759701492537
Epoch 177: Train cost 0.0798673927784, Train acc 0.999067164179, test acc 0.75447761194
Epoch 178: Train cost 0.0800724625587, Train acc 0.999067164179, test acc 0.753731343284
Epoch 179: Train cost 0.0804650336504, Train acc 0.998694029851, test acc 0.761940298507
Epoch 180: Train cost 0.0807355642319, Train acc 0.998507462687, test acc 0.755223880597
Epoch 181: Train cost 0.0798553228378, Train acc 0.998880597015, test acc 0.755970149254
Epoch 182: Train cost 0.0802478268743, Train acc 0.998320895522, test acc 0.760447761194
Epoch 183: Train cost 0.0803092941642, Train acc 0.998694029851, test acc 0.759701492537
Epoch 184: Train cost 0.0798458009958, Train acc 0.999253731343, test acc 0.753731343284
Epoch 185: Train cost 0.0804487913847, Train acc 0.998694029851, test acc 0.758208955224
Epoch 186: Train cost 0.0795949399471, Train acc 0.999067164179, test acc 0.75671641791
Epoch 187: Train cost 0.0804233700037, Train acc 0.999067164179, test acc 0.75223880597
Epoch 188: Train cost 0.0801816210151, Train acc 0.998880597015, test acc 0.758955223881
Epoch 189: Train cost 0.0799369663, Train acc 0.998880597015, test acc 0.760447761194
Epoch 190: Train cost 0.0798524543643, Train acc 0.999067164179, test acc 0.757462686567
Epoch 191: Train cost 0.0807905197144, Train acc 0.998320895522, test acc 0.759701492537
Epoch 192: Train cost 0.0801414474845, Train acc 0.998880597015, test acc 0.758208955224
Epoch 193: Train cost 0.079664491117, Train acc 0.999067164179, test acc 0.757462686567
Epoch 194: Train cost 0.0811707824469, Train acc 0.998507462687, test acc 0.762686567164
Epoch 195: Train cost 0.0806238651276, Train acc 0.998507462687, test acc 0.755970149254
Epoch 196: Train cost 0.0805593580008, Train acc 0.998694029851, test acc 0.755970149254
Epoch 197: Train cost 0.0797328427434, Train acc 0.999440298507, test acc 0.759701492537
Epoch 198: Train cost 0.0800181999803, Train acc 0.998694029851, test acc 0.75223880597
Epoch 199: Train cost 0.0796800479293, Train acc 0.999253731343, test acc 0.762686567164
we get best accuracy 0.766417910448 , at the 60 epoch
the model has been saved !
experiment end time is: 2017-12-29 05:02:59
the program run total 41643 seconds .
