
start time is: 2017-12-24 20:26:25

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1224train_1.conf
learning_rate = 0.01
batch_size = 13
num_epoches = 300
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：learning rate decay,l2正则化,增大batch_size。
global cost 0.0165433809161, inc1 cost 5.19077444077, inc2 cost 4.75150203705
Epoch 69: Train cost 3.33154630661, Train acc 0.997574626866, test acc 0.701492537313
global cost 0.0265905018896, inc1 cost 5.22820901871, inc2 cost 4.75840711594
Epoch 70: Train cost 3.31664252281, Train acc 0.998880597015, test acc 0.722388059701
global cost 0.0209867004305, inc1 cost 5.22718858719, inc2 cost 4.75576543808
Epoch 71: Train cost 3.30595231056, Train acc 0.998694029851, test acc 0.718656716418
global cost 0.0169533155859, inc1 cost 5.20513391495, inc2 cost 4.76170110703
Epoch 72: Train cost 3.29476642609, Train acc 0.998880597015, test acc 0.720895522388
global cost 0.0153945544735, inc1 cost 5.20064353943, inc2 cost 4.79392623901
Epoch 73: Train cost 3.30809903145, Train acc 0.994962686567, test acc 0.707462686567
global cost 0.0641210451722, inc1 cost 5.35930871964, inc2 cost 4.840528965
Epoch 74: Train cost 3.30110049248, Train acc 0.99328358209, test acc 0.703731343284
global cost 0.0555675774813, inc1 cost 5.27505350113, inc2 cost 4.78507328033
Epoch 75: Train cost 3.27462148666, Train acc 0.997574626866, test acc 0.70447761194
global cost 0.0379640199244, inc1 cost 5.28590679169, inc2 cost 4.76014328003
Epoch 76: Train cost 3.26055860519, Train acc 0.997947761194, test acc 0.721641791045
global cost 0.024139681831, inc1 cost 5.3019900322, inc2 cost 4.75873422623
Epoch 77: Train cost 3.24893856049, Train acc 0.998507462687, test acc 0.713432835821
global cost 0.017225926742, inc1 cost 5.33200645447, inc2 cost 4.76549386978
Epoch 78: Train cost 3.24016785622, Train acc 0.998134328358, test acc 0.729104477612
global cost 0.0170024130493, inc1 cost 5.27105093002, inc2 cost 4.76780080795
Epoch 79: Train cost 3.2332034111, Train acc 0.997947761194, test acc 0.709701492537
global cost 0.0232225544751, inc1 cost 5.25939083099, inc2 cost 4.7765622139
Epoch 80: Train cost 3.22018527985, Train acc 0.998694029851, test acc 0.708955223881
global cost 0.0159435160458, inc1 cost 5.20660924911, inc2 cost 4.74739027023
Epoch 81: Train cost 3.21047663689, Train acc 0.998507462687, test acc 0.708208955224
global cost 0.0129510769621, inc1 cost 5.2140827179, inc2 cost 4.75446844101
Epoch 82: Train cost 3.20345950127, Train acc 0.998320895522, test acc 0.720895522388
global cost 0.0173643268645, inc1 cost 5.20861530304, inc2 cost 4.73978233337
Epoch 83: Train cost 3.19338655472, Train acc 0.998507462687, test acc 0.708955223881
global cost 0.0133505994454, inc1 cost 5.17276620865, inc2 cost 4.73565673828
