start time is: 2017-12-20 10:23:24

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/1220train_1.conf
learning_rate = 0.001
batch_size = 26
num_epoches = 200
model_file :/home/ubuntu/wangchen/work/Indoor/models/best_model.pkl

其余要说明的事项 ：微调place预训练的权重,learning decay指数下降,l2正则化。
Epoch 146: Train cost 0.0282381512225, Train acc 0.999067164179, test acc 0.761940298507
Epoch 147: Train cost 0.0290477536619, Train acc 0.998507462687, test acc 0.757462686567
Epoch 148: Train cost 0.0287243779749, Train acc 0.998320895522, test acc 0.762686567164
Epoch 149: Train cost 0.0282170344144, Train acc 0.998880597015, test acc 0.765671641791
Epoch 150: Train cost 0.0284356642514, Train acc 0.998694029851, test acc 0.766417910448
Epoch 151: Train cost 0.0280418209732, Train acc 0.998880597015, test acc 0.765671641791
Epoch 152: Train cost 0.0292377155274, Train acc 0.998134328358, test acc 0.767910447761
Epoch 153: Train cost 0.028237586841, Train acc 0.998880597015, test acc 0.764925373134
Epoch 154: Train cost 0.0284594018012, Train acc 0.999253731343, test acc 0.762686567164
Epoch 155: Train cost 0.0282259359956, Train acc 0.999067164179, test acc 0.770895522388
Epoch 156: Train cost 0.0285479277372, Train acc 0.998694029851, test acc 0.770895522388
Epoch 157: Train cost 0.0293990969658, Train acc 0.998507462687, test acc 0.771641791045
Epoch 158: Train cost 0.0279109794647, Train acc 0.999067164179, test acc 0.765671641791
Epoch 159: Train cost 0.0286366529763, Train acc 0.998694029851, test acc 0.770149253731
Epoch 160: Train cost 0.0286251343787, Train acc 0.998320895522, test acc 0.769402985075
Epoch 161: Train cost 0.0276101976633, Train acc 0.999440298507, test acc 0.764925373134
Epoch 162: Train cost 0.0279013440013, Train acc 0.999440298507, test acc 0.766417910448
Epoch 163: Train cost 0.0283843800426, Train acc 0.998880597015, test acc 0.769402985075
Epoch 164: Train cost 0.0281088203192, Train acc 0.999253731343, test acc 0.767164179104
Epoch 165: Train cost 0.0278520397842, Train acc 0.998880597015, test acc 0.766417910448
Epoch 166: Train cost 0.0310700368136, Train acc 0.997574626866, test acc 0.749253731343
Epoch 167: Train cost 0.0283850561827, Train acc 0.999067164179, test acc 0.759701492537
Epoch 168: Train cost 0.0288657918572, Train acc 0.998320895522, test acc 0.755970149254
Epoch 169: Train cost 0.0287609770894, Train acc 0.998880597015, test acc 0.759701492537
Epoch 170: Train cost 0.0284710116684, Train acc 0.998694029851, test acc 0.758208955224
Epoch 171: Train cost 0.028392713517, Train acc 0.999067164179, test acc 0.761940298507
Epoch 172: Train cost 0.0283071361482, Train acc 0.998694029851, test acc 0.761194029851
Epoch 173: Train cost 0.0282506328076, Train acc 0.998694029851, test acc 0.765671641791
Epoch 174: Train cost 0.0288263726979, Train acc 0.998320895522, test acc 0.766417910448
Epoch 175: Train cost 0.0286637786776, Train acc 0.998880597015, test acc 0.765671641791
Epoch 176: Train cost 0.028461612761, Train acc 0.998694029851, test acc 0.765671641791
Epoch 177: Train cost 0.0283904168755, Train acc 0.998694029851, test acc 0.755223880597
Epoch 178: Train cost 0.028378020972, Train acc 0.999067164179, test acc 0.763432835821
Epoch 179: Train cost 0.0281266458333, Train acc 0.999253731343, test acc 0.766417910448
Epoch 180: Train cost 0.0278438217938, Train acc 0.999253731343, test acc 0.766417910448
Epoch 181: Train cost 0.0286169666797, Train acc 0.998694029851, test acc 0.766417910448
Epoch 182: Train cost 0.0286243092269, Train acc 0.998694029851, test acc 0.764179104478
Epoch 183: Train cost 0.0282418709248, Train acc 0.999067164179, test acc 0.764179104478
Epoch 184: Train cost 0.0281247403473, Train acc 0.998880597015, test acc 0.763432835821
Epoch 185: Train cost 0.0279934369028, Train acc 0.999253731343, test acc 0.761940298507
Epoch 186: Train cost 0.0287608150393, Train acc 0.998507462687, test acc 0.763432835821
Epoch 187: Train cost 0.0281060263515, Train acc 0.999067164179, test acc 0.761940298507
Epoch 188: Train cost 0.0283184610307, Train acc 0.998880597015, test acc 0.766417910448
Epoch 189: Train cost 0.0287132915109, Train acc 0.998507462687, test acc 0.764179104478
Epoch 190: Train cost 0.0283407457173, Train acc 0.998507462687, test acc 0.766417910448
Epoch 191: Train cost 0.0280295200646, Train acc 0.998507462687, test acc 0.767164179104
Epoch 192: Train cost 0.0278493352234, Train acc 0.999253731343, test acc 0.761940298507
Epoch 193: Train cost 0.0283787362278, Train acc 0.998507462687, test acc 0.767164179104
Epoch 194: Train cost 0.0286459252238, Train acc 0.998694029851, test acc 0.766417910448
Epoch 195: Train cost 0.0284432675689, Train acc 0.998880597015, test acc 0.769402985075
Epoch 196: Train cost 0.0280056223273, Train acc 0.998694029851, test acc 0.768656716418
Epoch 197: Train cost 0.0282593183219, Train acc 0.998880597015, test acc 0.760447761194
Epoch 198: Train cost 0.0278802681714, Train acc 0.999440298507, test acc 0.768656716418
Epoch 199: Train cost 0.02801191248, Train acc 0.998694029851, test acc 0.767910447761
we get best accuracy 0.773134328358 , at the 75 epoch
the model has been saved !
experiment end time is: 2017-12-20 17:40:53
the program run total 26249 seconds .
